고객사코드,굴뚝번호,굴뚝코드,굴뚝 정식 명칭,배출시설 종류,위치,굴뚝 높이(m),굴뚝 안지름(m),굴뚝 종별(종),,,,,,
CUST001,#A2020224,CUST001-#A2020224,#1-1 Fumer HYD Reactor ,반응시설,,20.5,0.25,5,,,,,,
CUST001,#A2020225,CUST001-#A2020225,#1-2 Fumer HYD Reactor ,반응시설,,20,0.23,5,,,,,,
CUST001,#A2020226,CUST001-#A2020226,#1-3 Fumer HYD Reactor,반응시설,,19.5,0.21,5,,,,,,
CUST001,#A2020227,CUST001-#A2020227,M/C F/P Pulping T/K #1,유무기산저장시설,,17.2,0.26,5,,,,,,
CUST001,#A2020228,CUST001-#A2020228,M/C F/P Pulping T/K #2,유무기산저장시설,,17.2,0.3,5,,,,,,
CUST001,#A2020229,CUST001-#A2020229,M/C F/P 여액 #1 Tank,유무기산저장시설,,17.3,0.25,5,,,,,,
CUST001,#A2020230,CUST001-#A2020230,M/C F/P 여액 #2 Tank,유무기산저장시설,,17.3,0.25,5,,,,,,
CUST001,#A2020231,CUST001-#A2020231,#2-1 Fumer HYD Reactor,반응시설,,20.5,0.24,5,,,,,,
CUST001,#A2020232,CUST001-#A2020232,#2-2 Fumer HYD Reactor,반응시설,,20,0.22,5,,,,,,
CUST001,#A2020233,CUST001-#A2020233,#2-3 Fumer HYD Reactor,반응시설,,19.5,0.22,5,,,,,,
CUST001,#A2020234,CUST001-#A2020234,Pre-NL#1 Ra',반응시설,,18,0.53,5,,,,,,
CUST001,#A2020235,CUST001-#A2020235,Pre-NL#2 Ra',반응시설,,-,0.37,5,,,,,,
CUST001,#A2020236,CUST001-#A2020236,Pre-NL#3 Ra',반응시설,,28.6,0.5,5,,,,,,
CUST001,#A2020237,CUST001-#A2020237,Pre-NL#4,반응시설,,18.9,0.32,5,,,,,,
CUST001,#A2020238,CUST001-#A2020238,Pre-NL#5,반응시설,,19,0.32,5,,,,,,
CUST001,#A2020246,CUST001-#A2020246,Final #7 Ra',유무기산저장시설,,22,0.5,5,,,,,,
CUST001,#A2020247,CUST001-#A2020247,Final #7 Ra',유무기산저장시설,,22,0.5,5,,,,,,
CUST001,#A2020249,CUST001-#A2020249,#1 Pulping Tank 운휴,혼합시설,,-,0.23,5,,,,,,
CUST001,#A2020250,CUST001-#A2020250,#2 Pulping Tank 운휴,혼합시설,,-,0.2,5,,,,,,
CUST001,#A2020251,CUST001-#A2020251,CH2 Reactor (200m3),반응시설,,10.5,0.25,5,,,,,,
CUST001,#A2020252,CUST001-#A2020252,CH2 산세 CH2 Filtrate Tank ,유무기산저장시설,,5.5,0.25,5,,,,,,
CUST001,#A2020253,CUST001-#A2020253,CH2 주수 Tank,유무기산저장시설,,14.2,0.32,5,,,,,,
CUST001,#A2020260,CUST001-#A2020260,OF5 A/W 68CH Feeding Tank ,유무기산저장시설,,-,0.22,5,,,,,,
CUST001,#A2020264,CUST001-#A2020264,#8 미액 Tank,유무기산저장시설,,17.3,0.14,5,,,,,,
CUST001,#A2020265,CUST001-#A2020265,#9 미액 Tank,유무기산저장시설,,17.3,0.14,5,,,,,,
CUST001,#A2020266,CUST001-#A2020266,#10 미액 Tank,유무기산저장시설,,27.6,0.56,5,,,,,,
CUST001,#A2020267,CUST001-#A2020267,SHL #1 Thick'r,농축시설,,12.6,0.43,5,,,,,,
CUST001,#A2020268,CUST001-#A2020268,SHL #1 Thick'r,농축시설,,12.5,0.4,5,,,,,,
CUST001,#A2020269,CUST001-#A2020269,Final Thick'r O/F V/S,유무기산저장시설,,9.8,0.15,5,,,,,,
CUST001,#A2020270,CUST001-#A2020270,F/L Thickener O/F Tank #2,유무기산저장시설,,9.7,0.14,5,,,,,,
CUST001,#A2020271,CUST001-#A2020271,SHL Thickener O/F Tank,유무기산저장시설,,-,0.2,5,,,,,,
CUST001,#A2020272,CUST001-#A2020272,RED#4 Thickener,농축시설,,12.4,0.42,5,,,,,,
CUST001,#A2020273,CUST001-#A2020273,RED#4 Thickener,농축시설,,12.4,0.41,5,,,,,,
CUST001,#A2020274,CUST001-#A2020274,RED THICKENER O/F #1 Vessel,유무기산저장시설,,8.5,0.12,5,,,,,,
CUST001,#A2020275,CUST001-#A2020275,RED THICKENER O/F #2 Vessel,유무기산저장시설,,11.3,0.13,5,,,,,,
CUST001,#A2020276,CUST001-#A2020276,WAL O/F #1 Vessel,유무기산저장시설,,9,0.14,5,,,,,,
CUST001,#A2020277,CUST001-#A2020277,WAL O/F #2 Vessel,유무기산저장시설,,9,0.14,5,,,,,,
CUST001,#A2020281,CUST001-#A2020281,NL #1 Mixing Tank,혼합시설,,7,0.14,5,,,,,,
CUST001,#A2020282,CUST001-#A2020282,NL #2 Mixing Tank,혼합시설,,15.4,0.14,5,,,,,,
CUST001,#A2020283,CUST001-#A2020283,NL #3 Mixing Tank,혼합시설,,9.2,0.14,5,,,,,,
CUST001,#A2020286,CUST001-#A2020286,#2 NL O/F Vessel,유무기산저장시설,,-,-,5,,,,,,
CUST001,#A2020287,CUST001-#A2020287,중성액조 #1 Tank,유무기산저장시설,,6.7,0.14,5,,,,,,
CUST001,#A2020288,CUST001-#A2020288,중성액조 #2 Tank,유무기산저장시설,,6.7,0.14,5,,,,,,
CUST001,#A2020289,CUST001-#A2020289,중성액조 #3,유무기산저장시설,,6.7,0.11,5,,,,,,
CUST001,#A2020290,CUST001-#A2020290,Mn Thickener Overflow Vessel,유무기산저장시설,,-,0.15,5,,,,,,
CUST001,#A2020291,CUST001-#A2020291,#3 Feed Tank(300m3),유무기산저장시설,,-,0.25,5,,,,,,
CUST001,#A2020302,CUST001-#A2020302,A/W Thickener,농축시설,,12.4,0.45,5,,,,,,
CUST001,#A2020304,CUST001-#A2020304,연용해 A/W THICKENER O/F Vessel,농축시설,,7.4,0.14,5,,,,,#A2040004,#N/A
CUST001,#A2020305,CUST001-#A2020305,연용해 A/W Thickener U/F Vessel,유무기산저장시설,,9.7,0.14,5,,,,,,
CUST001,#A2020306,CUST001-#A2020306,연용해 A/W 여액 Tank ,유무기산저장시설,,9.7,0.14,5,,,,,,
CUST001,#A2020307,CUST001-#A2020307,연용해 주수 Feed Tank ,유무기산저장시설,,7.9,0.15,5,,,,,,
CUST001,#A2020308,CUST001-#A2020308,연용해 Zn F/P 여액 Tank ,유무기산저장시설,,7.5,0.14,5,,,,,,
CUST001,#A2020310,CUST001-#A2020310,연용해 PbSO4 Pulping Tank ,혼합시설,,-,0.16,5,,,,,,
CUST001,#A2020311,CUST001-#A2020311,연용해 74CH F/P 여액 Tank ,유무기산저장시설,,8.6,0.12,5,,,,,,
CUST001,#A2020312,CUST001-#A2020312,연용해 #2 100CH F/P #1 여액 Tank ,유무기산저장시설,,11.3,0.14,5,,,,,,
CUST001,#A2020313,CUST001-#A2020313,연용해 #2 100CH F/P #2 여액 Tank ,유무기산저장시설,,-,0.14,5,,,,,,
CUST001,#A2020314,CUST001-#A2020314,연용해 Decomp 중화 #1 Thckener Over Flow Vessel ,유무기산저장시설,,-,0.15,5,,,,,,
CUST001,#A2020315,CUST001-#A2020315,연용해 NT Holding Tank ,유무기산저장시설,,-,0.15,5,,,,,,
CUST001,#A2020316,CUST001-#A2020316,연용해 NT #1 Thickener OverFlow Vessel ,유무기산저장시설,,9.9,0.15,5,,,,,,
CUST001,#A2020317,CUST001-#A2020317,연용해 NT #2 Thickener OverFlow Vessel ,유무기산저장시설,,-,-,5,,,,,,
CUST001,#A2020318,CUST001-#A2020318,아연액 TANK,유무기산저장시설,,8.3,0.14,5,,,,,,
CUST001,#A2020319,CUST001-#A2020319,연용해 산화아연 Pulping Tank,혼합시설,,-,0.14,5,,,,,,
CUST001,#A2020320,CUST001-#A2020320,연용해 Zinc-OX Holding #1 Tank,유무기산저장시설,,-,0.15,5,,,,,,
CUST001,#A2020321,CUST001-#A2020321,연용해 NT Feeding Tank ,유무기산저장시설,,-,0.34,5,,,,,,
CUST001,#A2020322,CUST001-#A2020322,Zinc ox slurry tank ,유무기산저장시설,,7.4,0.15,5,,,,,,
CUST001,#A2020323,CUST001-#A2020323,연용해 In Pond수 Tank ,유무기산저장시설,,7.7,0.14,5,,,,,,
CUST001,#A2020324,CUST001-#A2020324,In HL cake Repulp Tank,혼합시설,,-,0.15,5,,,,,,
CUST001,#A2020325,CUST001-#A2020325,연용해 In HL Filtrate Tank ,유무기산저장시설,,-,0.25,5,,,,,,
CUST001,#A2020326,CUST001-#A2020326,SPENT TANK,유무기산저장시설,,11.6,0.15,5,,,,,,
CUST001,#A2020327,CUST001-#A2020327,연용해 Pond Cushion Tank ,유무기산저장시설,,13.6,0.14,5,,,,,,
CUST001,#A2020328,CUST001-#A2020328,Fumer HYD Fumer HYD #1 Thickener O/F Tank ,유무기산저장시설,,-,0.15,5,,,,,,
CUST001,#A2020329,CUST001-#A2020329,Fumer HYD Fumer HYD #2 Thickener O/F Tank ,유무기산저장시설,,-,0.14,5,,,,,,
CUST001,#A2020330,CUST001-#A2020330,BZK Akali Washing 80CH Repulping Tank,혼합시설,,14.9,0.2,5,,,,,,
CUST001,#A2020333,CUST001-#A2020333,CH2 산세 OverflowVessel for Oxide Thickener ,유무기산저장시설,,9,0.14,5,,,,,,
CUST001,#A2020336,CUST001-#A2020336,OF5 A/W 68CH Comp. Tank,유무기산저장시설,,6.2,0.14,5,,,,,,
CUST001,#A2020337,CUST001-#A2020337,OF5 A/W 68CH Launder Tank,유무기산저장시설,,3.9,0.14,5,,,,,,
CUST001,#A2020338,CUST001-#A2020338,OF5 A/W 68CH 여액 Tank ,유무기산저장시설,,5.6,0.14,5,,,,,,
CUST001,#A2020347,CUST001-#A2020347,Final Thick'r,농축시설,,11.6,0.44,5,,,,,,
CUST001,#A2020348,CUST001-#A2020348,Final Thick'r,농축시설,,11.5,0.45,5,,,,,,
CUST001,#A2020349,CUST001-#A2020349,Foam Vessel,유무기산저장시설,,-,-,5,,,,,,
CUST001,#A2020350,CUST001-#A2020350,WAL#1 Thickener,농축시설,,-,-,5,,,,,,
CUST001,#A2020351,CUST001-#A2020351,WAL#1 Thickener,농축시설,,-,-,5,,,,,,
CUST001,#A2020352,CUST001-#A2020352,"
WAL #3 Thickener
",농축시설,,12.6,0.45,5,,,,,,
CUST001,#A2020353,CUST001-#A2020353,"
WAL #3 Thickener
",농축시설,,12.6,0.45,5,,,,,,
CUST001,#A2020354,CUST001-#A2020354,WAL Cushion Tank,유무기산저장시설,,-,-,5,,,,,,
CUST001,#A2020367,CUST001-#A2020367,NL#1 Thickener,농축시설,,-,-,5,,,,,,
CUST001,#A2020368,CUST001-#A2020368,NL#1 Thickener,농축시설,,-,-,5,,,,,,
CUST001,#A2020369,CUST001-#A2020369,NL#2 Thickener,농축시설,,-,-,5,,,,,,
CUST001,#A2020370,CUST001-#A2020370,NL#2 Thickener,농축시설,,-,-,5,,,,,,
CUST001,#A2020371,CUST001-#A2020371,NL#3 Thickener,농축시설,,-,-,5,,,,,,
CUST001,#A2020372,CUST001-#A2020372,NL#3 Thickener,농축시설,,-,-,5,,,,,,
CUST001,#A2020373,CUST001-#A2020373,NL#4 Thick'r,농축시설,,-,-,5,,,,,,
CUST001,#A2020374,CUST001-#A2020374,NL#4 Thick'r,농축시설,,-,-,5,,,,,,
CUST001,#A2020377,CUST001-#A2020377,Mn Thickener,농축시설,,15.3,0.5,5,,,,,,
CUST001,#A2020378,CUST001-#A2020378,Mn Thickener,농축시설,,15.3,0.5,5,,,,,,
CUST001,#A2020391,CUST001-#A2020391,NT #1 Thickener,농축시설,,10.4,0.45,5,,,,,,
CUST001,#A2020392,CUST001-#A2020392,NT #1 Thickener,농축시설,,11,0.46,5,,,,,,
CUST001,#A2020393,CUST001-#A2020393,NT #2 Thickener,농축시설,,10.7,0.46,5,,,,,,
CUST001,#A2020394,CUST001-#A2020394,NT #2 Thickener,농축시설,,-,-,5,,,,,,
CUST001,#A2020395,CUST001-#A2020395,Fumer HYD #1 Thickener,농축시설,,-,-,5,,,,,,
CUST001,#A2020396,CUST001-#A2020396,Fumer HYD #1 Thickener,농축시설,,-,-,5,,,,,,
CUST001,#A2020397,CUST001-#A2020397,Fumer-HYD #2 Thick'r,농축시설,,-,-,5,,,,,,
CUST001,#A2020398,CUST001-#A2020398,Fumer-HYD #2 Thick'r,농축시설,,-,-,5,,,,,,
CUST001,#A2020401,CUST001-#A2020401,CH2 Thickener (650m3),농축시설,,-,-,5,,,,,,
CUST001,#A2020402,CUST001-#A2020402,CH2 Thickener (650m3),농축시설,,-,-,5,,,,,,
CUST001,#A2040004,CUST001-#A2040004,CH2 Thickener (650m3),농축시설,,-,-,5,,,,,,
CUST001,#A2110101,CUST001-#A2110101,EC SCR,황산제조시설,,12.7,0.85,5,,,,,,
CUST001,#A2110102,CUST001-#A2110102,"EC SCR(16, 17 LINE)",황산제조시설,,13.2,0.62,5,,,,,,
CUST001,#A2110201,CUST001-#A2110201,Indium SCR,반응시설,,12.3,0.87,5,,,,,,
CUST001,#A2110202,CUST001-#A2110202,Indium 이동식 Bag Filter,그 밖의 시설,,3.6,0.2,5,,,,,,
CUST001,#A3011001,CUST001-#A3011001,Ca(OH)2 Silo Bag Filter,고체입자상물질 저장시설,,16.3,0.1,5,,,,,,
CUST001,#A3011002,CUST001-#A3011002,CaCO3 Silo Bag Filter,고체입자상물질 저장시설,,16.1,0.1,5,,,,,,
CUST001,#A3011003,CUST001-#A3011003,정수 #3 Scrubber (24m³/hr),반응시설,,19.2,0.54,5,,,,,,
CUST001,#A3011004,CUST001-#A3011004,정수 #4 Scrubber (100m³/hr),반응시설,,20.5,0.94,5,,,,,,
CUST001,#A3011005,CUST001-#A3011005,정수 #5 Scrubber,반응시설,,20.6,0.95,5,,,,,,
CUST001,#A3011006,CUST001-#A3011006,정수 #6 Scrubber,정제시설,,2.1,0.91,5,,,,,,
CUST001,C-ST01001,CUST001-C-ST01001,언로더-하역기 여과집진시설,비산먼지 발생시설,,20,1.2,5,,,,,,
CUST001,C-ST01002,CUST001-C-ST01002,Moving Hopper 여과집진시설,비산먼지 발생시설,,15,1.2,5,,,,,,
CUST001,C-ZL00006,CUST001-C-ZL00006,Pre Leaching Bin Bag Filter,비산먼지 발생시설,,-,0.65,5,,,,,,
